"week","Average age during week","10+ weeks","9 weeks","8 weeks","7 weeks","6 weeks","5 weeks","4 weeks","3 weeks","2 weeks","1 week","Less than a week"
"2014-04-28 00:00:00",124.00723888314374,701,0,0,0,0,0,0,0,0,0,0
"2014-05-05 00:00:00",124.38169084542271,1054,0,0,0,0,0,0,0,0,0,0
"2014-05-12 00:00:00",131.93864423552697,1094,0,0,0,0,0,0,0,0,0,0
"2014-05-19 00:00:00",132.32662835249042,1147,0,0,0,0,0,0,0,0,0,0
"2014-05-26 00:00:00",132.3453634085213,1113,0,0,0,0,0,0,0,0,0,0
"2014-06-02 00:00:00",131.83110906580765,1173,0,0,0,0,0,0,0,0,0,0
"2014-06-09 00:00:00",131.04258241758242,1219,0,0,0,0,0,0,0,0,0,0
"2014-06-16 00:00:00",136.48056537102474,1255,0,0,0,0,0,0,0,0,0,0
"2014-06-23 00:00:00",136.27890556045895,1034,210,0,0,0,0,0,0,0,0,0
"2014-06-30 00:00:00",136.41929746554024,917,151,199,0,0,0,0,0,0,0,0
"2014-07-07 00:00:00",135.8887505188875,899,100,130,223,0,0,0,0,0,0,0
"2014-07-14 00:00:00",143.44881573665194,832,62,82,152,215,0,0,0,0,0,0
"2014-07-21 00:00:00",141.7027800490597,791,44,60,95,144,228,0,0,0,0,0
"2014-07-28 00:00:00",144.07866043613708,805,30,43,83,91,155,234,0,0,0,0
"2014-08-04 00:00:00",140.7322380106572,678,24,34,52,52,82,154,189,0,0,0
"2014-08-11 00:00:00",125.99431009957326,562,19,33,39,33,59,94,126,250,0,0
"2014-08-18 00:00:00",128.02171814671814,522,15,26,26,19,40,64,69,163,259,0
"2014-08-25 00:00:00",128.26981040350023,474,15,14,23,20,31,47,48,82,173,266
